id,appId,appDisplayName
1420535d-6555-401d-aa32-3d05bb395d9c,d7097cd1-c779-44d0-8c71-ab1f8386a97e,Microsoft Office Licensing Service Agents
1453bd92-835c-46a2-92df-4427574788c3,c161e42e-d4df-4a3d-9b42-e7a3c31f59d4,Microsoft Intune API
1494e259-5d1b-4460-8cca-b8c6615ae7b7,18a4ad1e-427c-4cad-8416-ef674e801d32,Intune DeviceActionService
14a1bc9d-48f8-4eca-88ac-a1f7c65b250b,8909aac3-be91-470c-8a0b-ff09d669af91,Microsoft Parature Dynamics CRM
15a81c25-c897-4c2e-ab17-2893d0748e42,be1918be-3fe3-4be9-b32b-b542fc27f02e,M365 Compliance Drive Client
160d4a0a-9e0a-4f05-94dd-1aaad5721511,461e8683-5575-4561-ac7f-899cc907d62a,Azns AAD Webhook
160e2d63-c942-483d-a172-ffa0fef3e7f0,62b732f7-fc71-40bc-b27d-35efcb0509de,Microsoft Teams AadSync
1666d877-a7c3-4b7a-ac68-4daa873f52f8,06dd8193-75af-46d0-84bb-9b9bcaa89e8b,SubstrateActionsService
16b5b79c-b1f3-48ad-89f0-471c744dcc96,d0597157-f0ae-4e23-b06c-9e65de434c4f,Microsoft Teams Task Service
16b7b121-ff36-4a70-be10-a6adb7141416,8c59ead7-d703-4a27-9e55-c96a0054c8d2,My Profile
17954222-394e-4765-a2ae-f3103cbb3309,417ae6eb-aac8-42c8-900c-0e50debba688,Universal Print Enabled Printer
18534233-82e1-4e30-a38b-2ea401a7182c,ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b,Microsoft Teams Graph Service
1860af40-2830-493c-ba48-d46cbcc19439,be5f0473-6b57-40f8-b0a9-b3054b41b99e,AI Builder Prod Non God Mode
18ec3b55-9d0e-47aa-8359-47c8c10f51a5,3f6aecb4-6dbf-4e45-9141-440abdced562,PROD Microsoft Defender For Cloud XDR
1937978b-732b-4bfb-a17f-a1b91cddd7d0,b9a92e36-2cf8-4f4e-bcb3-9d99e00e14ab,Compute Recommendation Service
1979d6ee-9633-4675-a67a-0c6d33a10dd7,39e6ea5b-4aa4-4df2-808b-b6b5fb8ada6f,Dynamics Provision
197fe9ea-a2df-4f28-9e34-e1ebb5bcf012,557c67cf-c916-4293-8373-d584996f60ae,Configuration Manager Microservice
19897190-28a4-431b-a07b-a681fd6a49be,9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1,OfficeServicesManager
1a07416f-b11b-41c9-abb6-e3587a737f4c,8d3a7d3c-c034-4f19-a2ef-8412952a9671,Microsoft Office Licensing Service
1b5d6ef6-381c-4d40-bf48-3f0e9e11d560,c5393580-f805-4401-95e8-94b7a6ef2fc2,Office 365 Management APIs
1c4b48ca-407d-4f25-98a2-52381a79e945,996def3d-b36c-4153-8607-a6fd3c01b89f,Dynamics 365 Business Central
1c778313-b0a1-450d-8295-d0cac2fa2543,b51a99a9-ccaa-4687-aa2c-44d1558295f4,Microsoft Exact Data Match Upload Agent
1dbfced0-c80f-4e5c-8598-b107277f095e,c4288165-6698-45ba-98a5-48ea7791fed3,Azure Service Connector Resource Provider
1dcb6109-26d1-4e2b-abbd-304c3f97a800,3734c1a4-2bed-4998-a37a-ff1a9e7bf019,Microsoft Azure Container Apps - Data Plane
1dea53bb-b4b2-48ca-b98b-90b5fc235ad9,944861d3-5975-4f8b-afd4-3422c0b1b6ce,Customer Service Trial PVA
1e20003c-9e08-4a0b-a7e5-399e4674d629,331cc017-5973-4173-b270-f0042fddfd75,Power Apps API
1e293c12-f4ea-4097-8565-f99647fc5ba1,f53efbe2-c5e9-439c-acfe-8abb5135dfdd,Box
1e2dfd7c-18f5-45eb-b6af-e252cd64fb57,2db8cb1d-fb6c-450b-ab09-49b6ae35186b,Microsoft Dynamics CRM Learning Path
1ea9e9d7-927b-44f9-a3ef-938bc2431e9b,499b84ac-1321-427f-aa17-267ca6975798,Azure DevOps
1ec1fb67-2917-4366-b4ee-0705469c8cb5,d3ee6f25-becc-4659-9bc6-bbe6af7d18e6,OneLTI
1f51a582-fc12-4029-a8aa-7ce2058ec609,afae6340-0477-417e-b571-9e7a8a752387,DevCenter GenevaHost Surrogate Public
1f60b12e-5014-4dcf-bedf-0db6fb009e8d,af47b99c-8954-4b45-ab68-8121157418ef,MicrosoftAzureActiveDirectoryIntegratedApp
1fd190de-34d6-4a58-85a6-01f7784451a7,035f9e1d-4f00-4419-bf50-bf2d87eb4878,Azure Monitor Restricted
1fdc89ee-9425-44e5-9a78-0372ca6ea908,1a4b5304-a0fd-4017-8a3d-466fc083b73e,MSATenantRestrictions
200820b1-0b22-4ce4-b3c2-55c295c3229c,8fca0a66-c008-4564-a876-ab3ae0fd5cff,Microsoft.SMIT
21105423-550f-4622-9f87-5c8009bbbc56,12743ff8-d3de-49d0-a4ce-6c91a4245ea0,Metrics Monitor API
21a6c510-c953-46ed-ba84-be42013931ed,80331ee5-4436-4815-883e-93bc833a9a15,Universal Print Connector
21aab25f-d441-4ad1-853c-1521c2ff0de6,f569b9c7-be15-4e87-86f7-87d30d02090b,
220df9d6-049b-4850-aef5-ece943108177,e95d8bee-4725-4f59-910d-94d415da51b9,Skype for Business Name Dictionary Service
222491da-de6d-4044-80e7-c500f3d863a0,dbc36ae1-c097-4df9-8d94-343c3d091a76,Service Encryption
236dce0a-91f3-4e90-8396-2779ac2ec0d0,7e9f2fca-0cd8-4a6c-a1a0-7ffe48aec7c6,Intune Remote Help
23954e3b-20eb-414f-b9eb-9fc6e6754796,2220bbc4-4518-4fef-aac6-c6f32e9f9fd1,Customer Experience Platform PROD
2442ce74-9334-4064-a0a7-12e786689159,c58637bb-e2e1-4312-8a00-04b5ffcd3403,SharePoint Online Client Extensibility
2556779f-6398-432f-a325-7744c679cff2,855c87ff-dd4a-4504-975a-cac6272b5220,Test
2608e994-5ab2-4057-be59-2d64a452583f,c98e5057-edde-4666-b301-186a01b4dc58,MicrosoftEndpointDLP
266e971e-18fd-450a-bf73-689843561b5c,98c8388a-4e86-424f-a176-d1288462816f,Recommended
267e8fba-4188-40e8-8bf3-ae868aa366e4,475226c6-020e-4fb2-8a90-7a972cbfc1d4,PowerApps Service
26d17a98-0535-40d6-a1d0-071c3c162827,75efb5bc-18a1-4e7b-8a66-2ad2503d79c6,Microsoft Teams Retail Service
27cdcda3-5a18-4185-8893-ef11cea32b24,76cd24bf-a9fc-4344-b1dc-908275de6d6d,Azure SQL Virtual Network to Network Resource Provider
28ee017a-2f8a-4eb6-9e38-c3c6acd37ad2,0000001a-0000-0000-c000-000000000000,MicrosoftAzureActiveAuthn
29e535fd-da24-4908-900f-cd3e19f84bb1,29f411f1-b2cf-4043-8ac8-2185d7316811,Azure Iot Hub Publisher App
2a07bed4-c736-4bfd-ad50-660722641d6b,8b62382d-110e-4db8-83a6-c7e8ee84296a,PowerAI
2a20bac0-5812-47f9-9850-d5f9950515d2,db7de2b5-2149-435e-8043-e080dd50afae,Skype for Business Voicemail
2a95ef53-010b-42a0-83d0-038184e44265,78e7bc61-0fab-4d35-8387-09a8d2f5a59d,Yggdrasil
2aa365d2-e75c-46dc-b317-3c3e6e307740,69dda2a9-33ca-4ed0-83fb-a9b7b8973ff4,Azure Files
2b037514-f5dd-4744-9c98-0bfe3ced5b41,a855a166-fd92-4c76-b60d-a791e0762432,Microsoft Teams VSTS
2b405dd3-30da-4dfa-afa5-430b1e792cfc,4747d38e-36c5-4bc3-979b-b0ef74df54d1,PushChannel
2b7100e1-b8b2-4b2d-ad87-a63a8bb47a40,a164aee5-7d0a-46bb-9404-37421d58bdf7,Microsoft Teams AuthSvc
2bcf6bdd-9719-4641-ac18-acd3f28e45f1,50e95039-b200-4007-bc97-8d5790743a63,Azure Virtual Desktop ARM Provider
2e2cc8ff-c865-4e7c-a97b-701cd3ecee6f,be7e04e7-2f3f-4b14-80db-72a7c77775e6,Highlights
2e39d3af-053c-4f0d-b850-125298c26628,9b06ebd4-9068-486b-bdd2-dac26b8a5a7a,Microsoft.DynamicsMarketing
2e77de1f-51f5-4268-87f0-7f47ea157cee,55bdc56c-2b15-4538-aa37-d0c008c8c430,IC3 Gateway TestClone
2f46d193-01f5-48a6-93e1-75dfc84bcba6,cc46c2aa-d508-409b-aeb7-df7cd1e07aaa,MAPG
